,CBSACode,CBSATitle,geo_licode_n,geo_text,metro,mainmatch,matchtype,CSA,CSATitle,cbsa_nearest,cbsa_nearest_name,cbsa_nearest_distance
661,39740,"Reading, PA","Reading, Pennsylvania Area","Reading, Pennsylvania Area",1,1,Main Match,428.0,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",,,
662,39060,"Pottsville, PA","Reading, Pennsylvania Area","Reading, Pennsylvania Area",0,0,Driving Distance,,,39740.0,"Reading, PA",30.775272
663,42540,"Scranton--Wilkes-Barre--Hazleton, PA","Scranton, Pennsylvania Area","Scranton, Pennsylvania Area",1,1,Main Match,,,,,
664,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Greater Philadelphia Area,Greater Philadelphia Area,1,1,Main Match,428.0,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",,,
665,12100,"Atlantic City-Hammonton, NJ",Greater Philadelphia Area,Greater Philadelphia Area,1,0,Largest MSA within CSA,428.0,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",,,
666,36140,"Ocean City, NJ",Greater Philadelphia Area,Greater Philadelphia Area,1,0,Largest MSA within CSA,428.0,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",,,
667,47220,"Vineland-Bridgeton, NJ",Greater Philadelphia Area,Greater Philadelphia Area,1,0,Largest MSA within CSA,428.0,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",,,
668,44300,"State College, PA","State College, Pennsylvania Area","State College, Pennsylvania Area",1,1,Main Match,524.0,"State College-DuBois, PA",,,
669,20180,"DuBois, PA","State College, Pennsylvania Area","State College, Pennsylvania Area",0,0,CSA Match,524.0,"State College-DuBois, PA",,,
670,30380,"Lewistown, PA","State College, Pennsylvania Area","State College, Pennsylvania Area",0,0,Driving Distance,,,44300.0,"State College, PA",40.944633
671,48700,"Williamsport, PA","Williamsport, Pennsylvania Area","Williamsport, Pennsylvania Area",1,1,Main Match,558.0,"Williamsport-Lock Haven, PA",,,
672,30820,"Lock Haven, PA","Williamsport, Pennsylvania Area","Williamsport, Pennsylvania Area",0,0,CSA Match,558.0,"Williamsport-Lock Haven, PA",,,
673,14100,"Bloomsburg-Berwick, PA","Williamsport, Pennsylvania Area","Williamsport, Pennsylvania Area",1,0,Driving Distance,146.0,"Bloomsburg-Berwick-Sunbury, PA",48700.0,"Williamsport, PA",52.034866
674,30260,"Lewisburg, PA","Williamsport, Pennsylvania Area","Williamsport, Pennsylvania Area",0,0,Driving Distance,146.0,"Bloomsburg-Berwick-Sunbury, PA",48700.0,"Williamsport, PA",47.514393
675,44980,"Sunbury, PA","Williamsport, Pennsylvania Area","Williamsport, Pennsylvania Area",0,0,Driving Distance,146.0,"Bloomsburg-Berwick-Sunbury, PA",48700.0,"Williamsport, PA",60.194714
676,49620,"York-Hanover, PA","York, Pennsylvania Area","York, Pennsylvania Area",1,1,Main Match,276.0,"Harrisburg-York-Lebanon, PA",,,
677,39300,"Providence-Warwick, RI-MA","Providence, Rhode Island Area","Providence, Rhode Island Area",1,1,Main Match,148.0,"Boston-Worcester-Providence, MA-RI-NH-CT",,,
678,16700,"Charleston-North Charleston, SC","Charleston, South Carolina Area","Charleston, South Carolina Area",1,1,Main Match,,,,,
679,17900,"Columbia, SC","Columbia, South Carolina Area","Columbia, South Carolina Area",1,1,Main Match,192.0,"Columbia-Orangeburg-Newberry, SC",,,
680,35140,"Newberry, SC","Columbia, South Carolina Area","Columbia, South Carolina Area",0,0,CSA Match,192.0,"Columbia-Orangeburg-Newberry, SC",,,
681,36700,"Orangeburg, SC","Columbia, South Carolina Area","Columbia, South Carolina Area",0,0,CSA Match,192.0,"Columbia-Orangeburg-Newberry, SC",,,
682,22500,"Florence, SC","Florence, South Carolina Area","Florence, South Carolina Area",1,1,Main Match,,,,,
